Trial,Metric,K,N,sigma,TruePositive,FalsePositive,FalseNegative,TrueNegative,Accuracy,MisclassificationRate,TruePositiveRate,FalsePositiveRate,Specificity,Precision
int,str,int,int,float,int,int,int,int,float,float,float,float,float,float
0,inf,10,1,0.05,38,12,19,31,0.69,0.31,0.6666666666666666,0.27906976744186046,0.7209302325581395,0.76
1,inf,10,1,0.05,80,10,9,1,0.81,0.19,0.898876404494382,0.9090909090909091,0.09090909090909091,0.8888888888888888
2,inf,10,1,0.05,56,12,11,21,0.77,0.23,0.835820895522388,0.36363636363636365,0.6363636363636364,0.8235294117647058
3,inf,10,1,0.05,58,22,13,7,0.65,0.35,0.8169014084507042,0.7586206896551724,0.2413793103448276,0.725
4,inf,10,1,0.05,13,14,15,58,0.71,0.29,0.4642857142857143,0.19444444444444445,0.8055555555555556,0.48148148148148145
5,inf,10,1,0.05,13,21,16,50,0.63,0.37,0.4482758620689655,0.29577464788732394,0.704225352112676,0.38235294117647056
6,inf,10,1,0.05,13,20,21,46,0.59,0.41,0.38235294117647056,0.30303030303030304,0.696969696969697,0.3939393939393939
7,inf,10,1,0.05,2,4,10,84,0.86,0.14,0.16666666666666666,0.045454545454545456,0.9545454545454546,0.3333333333333333
8,inf,10,1,0.05,25,21,18,36,0.61,0.39,0.5813953488372093,0.3684210526315789,0.631578947368421,0.5434782608695652
9,inf,10,1,0.05,35,26,16,23,0.58,0.42,0.6862745098039216,0.5306122448979592,0.46938775510204084,0.5737704918032787
0,inf,10,1,0.1,19,17,20,44,0.63,0.37,0.48717948717948717,0.2786885245901639,0.7213114754098361,0.5277777777777778
1,inf,10,1,0.1,26,26,8,40,0.66,0.34,0.7647058823529411,0.3939393939393939,0.6060606060606061,0.5
2,inf,10,1,0.1,62,15,12,11,0.73,0.27,0.8378378378378378,0.5769230769230769,0.4230769230769231,0.8051948051948052
3,inf,10,1,0.1,7,18,24,51,0.58,0.42,0.22580645161290322,0.2608695652173913,0.7391304347826086,0.28
4,inf,10,1,0.1,42,5,13,40,0.82,0.18,0.7636363636363637,0.1111111111111111,0.8888888888888888,0.8936170212765957
5,inf,10,1,0.1,43,16,11,30,0.73,0.27,0.7962962962962963,0.34782608695652173,0.6521739130434783,0.7288135593220338
6,inf,10,1,0.1,19,31,14,36,0.55,0.45,0.5757575757575758,0.4626865671641791,0.5373134328358209,0.38
7,inf,10,1,0.1,65,8,12,15,0.8,0.2,0.8441558441558441,0.34782608695652173,0.6521739130434783,0.8904109589041096
8,inf,10,1,0.1,14,17,25,44,0.58,0.42,0.358974358974359,0.2786885245901639,0.7213114754098361,0.45161290322580644
9,inf,10,1,0.1,29,19,16,36,0.65,0.35,0.6444444444444445,0.34545454545454546,0.6545454545454545,0.6041666666666666
0,inf,10,1,0.15,22,18,22,38,0.6,0.4,0.5,0.32142857142857145,0.6785714285714286,0.55
1,inf,10,1,0.15,12,19,16,53,0.65,0.35,0.42857142857142855,0.2638888888888889,0.7361111111111112,0.3870967741935484
2,inf,10,1,0.15,32,21,18,29,0.61,0.39,0.64,0.42,0.58,0.6037735849056604
3,inf,10,1,0.15,30,8,16,46,0.76,0.24,0.6521739130434783,0.14814814814814814,0.8518518518518519,0.7894736842105263
4,inf,10,1,0.15,16,19,30,35,0.51,0.49,0.34782608695652173,0.35185185185185186,0.6481481481481481,0.45714285714285713
5,inf,10,1,0.15,28,28,15,29,0.57,0.43,0.6511627906976745,0.49122807017543857,0.5087719298245614,0.5
6,inf,10,1,0.15,74,15,5,6,0.8,0.2,0.9367088607594937,0.7142857142857143,0.2857142857142857,0.8314606741573034
7,inf,10,1,0.15,32,17,22,29,0.61,0.39,0.5925925925925926,0.3695652173913043,0.6304347826086957,0.6530612244897959
8,inf,10,1,0.15,44,14,13,29,0.73,0.27,0.7719298245614035,0.32558139534883723,0.6744186046511628,0.7586206896551724
9,inf,10,1,0.15,25,21,21,33,0.58,0.42,0.5434782608695652,0.3888888888888889,0.6111111111111112,0.5434782608695652
0,inf,10,1,0.2,78,12,2,8,0.86,0.14,0.975,0.6,0.4,0.8666666666666667
1,inf,10,1,0.2,13,23,21,43,0.56,0.44,0.38235294117647056,0.3484848484848485,0.6515151515151515,0.3611111111111111
2,inf,10,1,0.2,6,16,25,53,0.59,0.41,0.1935483870967742,0.2318840579710145,0.7681159420289855,0.2727272727272727
3,inf,10,1,0.2,18,29,15,38,0.56,0.44,0.5454545454545454,0.43283582089552236,0.5671641791044776,0.3829787234042553
4,inf,10,1,0.2,56,8,23,13,0.69,0.31,0.7088607594936709,0.38095238095238093,0.6190476190476191,0.875
5,inf,10,1,0.2,6,27,12,55,0.61,0.39,0.3333333333333333,0.32926829268292684,0.6707317073170732,0.18181818181818182
6,inf,10,1,0.2,5,10,13,72,0.77,0.23,0.2777777777777778,0.12195121951219512,0.8780487804878049,0.3333333333333333
7,inf,10,1,0.2,24,11,12,53,0.77,0.23,0.6666666666666666,0.171875,0.828125,0.6857142857142857
8,inf,10,1,0.2,37,22,17,24,0.61,0.39,0.6851851851851852,0.4782608695652174,0.5217391304347826,0.6271186440677966
9,inf,10,1,0.2,28,13,22,37,0.65,0.35,0.56,0.26,0.74,0.6829268292682927
0,inf,10,1,0.25,28,11,33,28,0.56,0.44,0.45901639344262296,0.28205128205128205,0.717948717948718,0.717948717948718
1,inf,10,1,0.25,38,9,36,17,0.55,0.45,0.5135135135135135,0.34615384615384615,0.6538461538461539,0.8085106382978723
2,inf,10,1,0.25,36,16,22,26,0.62,0.38,0.6206896551724138,0.38095238095238093,0.6190476190476191,0.6923076923076923
3,inf,10,1,0.25,20,13,19,48,0.68,0.32,0.5128205128205128,0.21311475409836064,0.7868852459016393,0.6060606060606061
4,inf,10,1,0.25,59,17,15,9,0.68,0.32,0.7972972972972973,0.6538461538461539,0.34615384615384615,0.7763157894736842
5,inf,10,1,0.25,70,10,12,8,0.78,0.22,0.8536585365853658,0.5555555555555556,0.4444444444444444,0.875
6,inf,10,1,0.25,30,15,15,40,0.7,0.3,0.6666666666666666,0.2727272727272727,0.7272727272727273,0.6666666666666666
7,inf,10,1,0.25,53,14,14,19,0.72,0.28,0.7910447761194029,0.42424242424242425,0.5757575757575758,0.7910447761194029
8,inf,10,1,0.25,45,31,15,9,0.54,0.46,0.75,0.775,0.225,0.5921052631578947
9,inf,10,1,0.25,27,19,27,27,0.54,0.46,0.5,0.41304347826086957,0.5869565217391305,0.5869565217391305
0,inf,20,1,0.05,13,20,34,33,0.46,0.54,0.2765957446808511,0.37735849056603776,0.6226415094339622,0.3939393939393939
1,inf,20,1,0.05,13,24,13,50,0.63,0.37,0.5,0.32432432432432434,0.6756756756756757,0.35135135135135137
2,inf,20,1,0.05,38,13,17,32,0.7,0.3,0.6909090909090909,0.28888888888888886,0.7111111111111111,0.7450980392156863
3,inf,20,1,0.05,24,17,31,28,0.52,0.48,0.43636363636363634,0.37777777777777777,0.6222222222222222,0.5853658536585366
4,inf,20,1,0.05,19,29,26,26,0.45,0.55,0.4222222222222222,0.5272727272727272,0.4727272727272727,0.3958333333333333
5,inf,20,1,0.05,51,18,12,19,0.7,0.3,0.8095238095238095,0.4864864864864865,0.5135135135135135,0.7391304347826086
6,inf,20,1,0.05,55,19,15,11,0.66,0.34,0.7857142857142857,0.6333333333333333,0.36666666666666664,0.7432432432432432
7,inf,20,1,0.05,22,29,14,35,0.57,0.43,0.6111111111111112,0.453125,0.546875,0.43137254901960786
8,inf,20,1,0.05,56,15,21,8,0.64,0.36,0.7272727272727273,0.6521739130434783,0.34782608695652173,0.7887323943661971
9,inf,20,1,0.05,21,31,23,25,0.46,0.54,0.4772727272727273,0.5535714285714286,0.44642857142857145,0.40384615384615385
0,inf,20,1,0.1,44,20,25,11,0.55,0.45,0.6376811594202898,0.6451612903225806,0.3548387096774194,0.6875
1,inf,20,1,0.1,29,16,18,37,0.66,0.34,0.6170212765957447,0.3018867924528302,0.6981132075471698,0.6444444444444445
2,inf,20,1,0.1,26,13,26,35,0.61,0.39,0.5,0.2708333333333333,0.7291666666666666,0.6666666666666666
3,inf,20,1,0.1,28,10,26,36,0.64,0.36,0.5185185185185185,0.21739130434782608,0.782608695652174,0.7368421052631579
4,inf,20,1,0.1,58,24,11,7,0.65,0.35,0.8405797101449275,0.7741935483870968,0.22580645161290322,0.7073170731707317
5,inf,20,1,0.1,21,21,25,33,0.54,0.46,0.45652173913043476,0.3888888888888889,0.6111111111111112,0.5
6,inf,20,1,0.1,25,13,20,42,0.67,0.33,0.5555555555555556,0.23636363636363636,0.7636363636363637,0.6578947368421053
7,inf,20,1,0.1,26,19,25,30,0.56,0.44,0.5098039215686274,0.3877551020408163,0.6122448979591837,0.5777777777777777
8,inf,20,1,0.1,22,33,18,27,0.49,0.51,0.55,0.55,0.45,0.4
9,inf,20,1,0.1,49,13,12,26,0.75,0.25,0.8032786885245902,0.3333333333333333,0.6666666666666666,0.7903225806451613
0,inf,20,1,0.15,20,27,29,24,0.44,0.56,0.40816326530612246,0.5294117647058824,0.47058823529411764,0.425531914893617
1,inf,20,1,0.15,18,30,17,35,0.53,0.47,0.5142857142857142,0.46153846153846156,0.5384615384615384,0.375
2,inf,20,1,0.15,25,20,17,38,0.63,0.37,0.5952380952380952,0.3448275862068966,0.6551724137931034,0.5555555555555556
3,inf,20,1,0.15,57,23,18,2,0.59,0.41,0.76,0.92,0.08,0.7125
4,inf,20,1,0.15,19,18,24,39,0.58,0.42,0.4418604651162791,0.3157894736842105,0.6842105263157895,0.5135135135135135
5,inf,20,1,0.15,15,21,36,28,0.43,0.57,0.29411764705882354,0.42857142857142855,0.5714285714285714,0.4166666666666667
6,inf,20,1,0.15,43,21,28,8,0.51,0.49,0.6056338028169014,0.7241379310344828,0.27586206896551724,0.671875
7,inf,20,1,0.15,5,17,19,59,0.64,0.36,0.20833333333333334,0.2236842105263158,0.7763157894736842,0.22727272727272727
8,inf,20,1,0.15,31,19,21,29,0.6,0.4,0.5961538461538461,0.3958333333333333,0.6041666666666666,0.62
9,inf,20,1,0.15,4,14,20,62,0.66,0.34,0.16666666666666666,0.18421052631578946,0.8157894736842105,0.2222222222222222
0,inf,20,1,0.2,32,23,19,26,0.58,0.42,0.6274509803921569,0.46938775510204084,0.5306122448979592,0.5818181818181818
1,inf,20,1,0.2,27,28,16,29,0.56,0.44,0.627906976744186,0.49122807017543857,0.5087719298245614,0.4909090909090909
2,inf,20,1,0.2,20,21,13,46,0.66,0.34,0.6060606060606061,0.31343283582089554,0.6865671641791045,0.4878048780487805
3,inf,20,1,0.2,12,32,14,42,0.54,0.46,0.46153846153846156,0.43243243243243246,0.5675675675675675,0.2727272727272727
4,inf,20,1,0.2,16,17,10,57,0.73,0.27,0.6153846153846154,0.22972972972972974,0.7702702702702703,0.48484848484848486
5,inf,20,1,0.2,55,17,22,6,0.61,0.39,0.7142857142857143,0.7391304347826086,0.2608695652173913,0.7638888888888888
6,inf,20,1,0.2,11,20,14,55,0.66,0.34,0.44,0.26666666666666666,0.7333333333333333,0.3548387096774194
7,inf,20,1,0.2,50,16,22,12,0.62,0.38,0.6944444444444444,0.5714285714285714,0.42857142857142855,0.7575757575757576
8,inf,20,1,0.2,31,29,17,23,0.54,0.46,0.6458333333333334,0.5576923076923077,0.4423076923076923,0.5166666666666667
9,inf,20,1,0.2,7,27,18,48,0.55,0.45,0.28,0.36,0.64,0.20588235294117646
0,inf,20,1,0.25,29,27,23,21,0.5,0.5,0.5576923076923077,0.5625,0.4375,0.5178571428571429
1,inf,20,1,0.25,56,14,24,6,0.62,0.38,0.7,0.7,0.3,0.8
2,inf,20,1,0.25,21,18,20,41,0.62,0.38,0.5121951219512195,0.3050847457627119,0.6949152542372882,0.5384615384615384
3,inf,20,1,0.25,24,26,17,33,0.57,0.43,0.5853658536585366,0.4406779661016949,0.559322033898305,0.48
4,inf,20,1,0.25,27,27,19,27,0.54,0.46,0.5869565217391305,0.5,0.5,0.5
5,inf,20,1,0.25,18,31,20,31,0.49,0.51,0.47368421052631576,0.5,0.5,0.3673469387755102
6,inf,20,1,0.25,15,17,27,41,0.56,0.44,0.35714285714285715,0.29310344827586204,0.7068965517241379,0.46875
7,inf,20,1,0.25,30,17,26,27,0.57,0.43,0.5357142857142857,0.38636363636363635,0.6136363636363636,0.6382978723404256
8,inf,20,1,0.25,60,18,15,7,0.67,0.33,0.8,0.72,0.28,0.7692307692307693
9,inf,20,1,0.25,20,22,25,33,0.53,0.47,0.4444444444444444,0.4,0.6,0.47619047619047616
0,inf,30,1,0.05,23,23,22,32,0.55,0.45,0.5111111111111111,0.41818181818181815,0.5818181818181818,0.5
1,inf,30,1,0.05,23,24,22,31,0.54,0.46,0.5111111111111111,0.43636363636363634,0.5636363636363636,0.48936170212765956
2,inf,30,1,0.05,18,18,25,39,0.57,0.43,0.4186046511627907,0.3157894736842105,0.6842105263157895,0.5
3,inf,30,1,0.05,23,20,22,35,0.58,0.42,0.5111111111111111,0.36363636363636365,0.6363636363636364,0.5348837209302325
4,inf,30,1,0.05,40,25,19,16,0.56,0.44,0.6779661016949152,0.6097560975609756,0.3902439024390244,0.6153846153846154
5,inf,30,1,0.05,29,18,20,33,0.62,0.38,0.5918367346938775,0.35294117647058826,0.6470588235294118,0.6170212765957447
6,inf,30,1,0.05,30,21,22,27,0.57,0.43,0.5769230769230769,0.4375,0.5625,0.5882352941176471
7,inf,30,1,0.05,13,25,21,41,0.54,0.46,0.38235294117647056,0.3787878787878788,0.6212121212121212,0.34210526315789475
8,inf,30,1,0.05,24,34,22,20,0.44,0.56,0.5217391304347826,0.6296296296296297,0.37037037037037035,0.41379310344827586
9,inf,30,1,0.05,12,24,35,29,0.41,0.59,0.2553191489361702,0.4528301886792453,0.5471698113207547,0.3333333333333333
0,inf,30,1,0.1,23,16,25,36,0.59,0.41,0.4791666666666667,0.3076923076923077,0.6923076923076923,0.5897435897435898
1,inf,30,1,0.1,6,15,23,56,0.62,0.38,0.20689655172413793,0.2112676056338028,0.7887323943661971,0.2857142857142857
2,inf,30,1,0.1,15,24,18,43,0.58,0.42,0.45454545454545453,0.3582089552238806,0.6417910447761194,0.38461538461538464
3,inf,30,1,0.1,19,36,19,26,0.45,0.55,0.5,0.5806451612903226,0.41935483870967744,0.34545454545454546
4,inf,30,1,0.1,23,20,20,37,0.6,0.4,0.5348837209302325,0.3508771929824561,0.6491228070175439,0.5348837209302325
5,inf,30,1,0.1,44,29,17,10,0.54,0.46,0.7213114754098361,0.7435897435897436,0.2564102564102564,0.6027397260273972
6,inf,30,1,0.1,28,21,26,25,0.53,0.47,0.5185185185185185,0.45652173913043476,0.5434782608695652,0.5714285714285714
7,inf,30,1,0.1,15,19,20,46,0.61,0.39,0.42857142857142855,0.2923076923076923,0.7076923076923077,0.4411764705882353
8,inf,30,1,0.1,11,29,21,39,0.5,0.5,0.34375,0.4264705882352941,0.5735294117647058,0.275
9,inf,30,1,0.1,16,13,31,40,0.56,0.44,0.3404255319148936,0.24528301886792453,0.7547169811320755,0.5517241379310345
0,inf,30,1,0.15,39,18,25,18,0.57,0.43,0.609375,0.5,0.5,0.6842105263157895
1,inf,30,1,0.15,45,23,24,8,0.53,0.47,0.6521739130434783,0.7419354838709677,0.25806451612903225,0.6617647058823529
2,inf,30,1,0.15,52,17,26,5,0.57,0.43,0.6666666666666666,0.7727272727272727,0.22727272727272727,0.7536231884057971
3,inf,30,1,0.15,37,27,22,14,0.51,0.49,0.6271186440677966,0.6585365853658537,0.34146341463414637,0.578125
4,inf,30,1,0.15,25,25,31,19,0.44,0.56,0.44642857142857145,0.5681818181818182,0.4318181818181818,0.5
5,inf,30,1,0.15,15,21,24,40,0.55,0.45,0.38461538461538464,0.3442622950819672,0.6557377049180327,0.4166666666666667
6,inf,30,1,0.15,19,15,23,43,0.62,0.38,0.4523809523809524,0.25862068965517243,0.7413793103448276,0.5588235294117647
7,inf,30,1,0.15,21,18,14,47,0.68,0.32,0.6,0.27692307692307694,0.7230769230769231,0.5384615384615384
8,inf,30,1,0.15,24,20,16,40,0.64,0.36,0.6,0.3333333333333333,0.6666666666666666,0.5454545454545454
9,inf,30,1,0.15,10,22,15,53,0.63,0.37,0.4,0.29333333333333333,0.7066666666666667,0.3125
0,inf,30,1,0.2,27,19,23,31,0.58,0.42,0.54,0.38,0.62,0.5869565217391305
1,inf,30,1,0.2,34,17,27,22,0.56,0.44,0.5573770491803278,0.4358974358974359,0.5641025641025641,0.6666666666666666
2,inf,30,1,0.2,31,22,22,25,0.56,0.44,0.5849056603773585,0.46808510638297873,0.5319148936170213,0.5849056603773585
3,inf,30,1,0.2,37,18,23,22,0.59,0.41,0.6166666666666667,0.45,0.55,0.6727272727272727
4,inf,30,1,0.2,28,15,23,34,0.62,0.38,0.5490196078431373,0.30612244897959184,0.6938775510204082,0.6511627906976745
5,inf,30,1,0.2,16,15,22,47,0.63,0.37,0.42105263157894735,0.24193548387096775,0.7580645161290323,0.5161290322580645
6,inf,30,1,0.2,27,26,24,23,0.5,0.5,0.5294117647058824,0.5306122448979592,0.46938775510204084,0.5094339622641509
7,inf,30,1,0.2,42,25,19,14,0.56,0.44,0.6885245901639344,0.6410256410256411,0.358974358974359,0.6268656716417911
8,inf,30,1,0.2,15,26,26,33,0.48,0.52,0.36585365853658536,0.4406779661016949,0.559322033898305,0.36585365853658536
9,inf,30,1,0.2,22,18,21,39,0.61,0.39,0.5116279069767442,0.3157894736842105,0.6842105263157895,0.55
0,inf,30,1,0.25,10,21,14,55,0.65,0.35,0.4166666666666667,0.27631578947368424,0.7236842105263158,0.3225806451612903
1,inf,30,1,0.25,34,22,22,22,0.56,0.44,0.6071428571428571,0.5,0.5,0.6071428571428571
2,inf,30,1,0.25,53,16,16,15,0.68,0.32,0.7681159420289855,0.5161290322580645,0.4838709677419355,0.7681159420289855
3,inf,30,1,0.25,32,18,31,19,0.51,0.49,0.5079365079365079,0.4864864864864865,0.5135135135135135,0.64
4,inf,30,1,0.25,33,30,18,19,0.52,0.48,0.6470588235294118,0.6122448979591837,0.3877551020408163,0.5238095238095238
5,inf,30,1,0.25,21,23,30,26,0.47,0.53,0.4117647058823529,0.46938775510204084,0.5306122448979592,0.4772727272727273
6,inf,30,1,0.25,33,17,24,26,0.59,0.41,0.5789473684210527,0.3953488372093023,0.6046511627906976,0.66
7,inf,30,1,0.25,12,22,26,40,0.52,0.48,0.3157894736842105,0.3548387096774194,0.6451612903225806,0.35294117647058826
8,inf,30,1,0.25,22,24,19,35,0.57,0.43,0.5365853658536586,0.4067796610169492,0.5932203389830508,0.4782608695652174
9,inf,30,1,0.25,5,11,11,73,0.78,0.22,0.3125,0.13095238095238096,0.8690476190476191,0.3125
0,inf,40,1,0.05,28,20,26,26,0.54,0.46,0.5185185185185185,0.43478260869565216,0.5652173913043478,0.5833333333333334
1,inf,40,1,0.05,30,28,23,19,0.49,0.51,0.5660377358490566,0.5957446808510638,0.40425531914893614,0.5172413793103449
2,inf,40,1,0.05,32,22,26,20,0.52,0.48,0.5517241379310345,0.5238095238095238,0.47619047619047616,0.5925925925925926
3,inf,40,1,0.05,35,24,14,27,0.62,0.38,0.7142857142857143,0.47058823529411764,0.5294117647058824,0.5932203389830508
4,inf,40,1,0.05,32,30,25,13,0.45,0.55,0.5614035087719298,0.6976744186046512,0.3023255813953488,0.5161290322580645
5,inf,40,1,0.05,39,16,21,24,0.63,0.37,0.65,0.4,0.6,0.7090909090909091
6,inf,40,1,0.05,14,18,24,44,0.58,0.42,0.3684210526315789,0.2903225806451613,0.7096774193548387,0.4375
7,inf,40,1,0.05,43,26,17,14,0.57,0.43,0.7166666666666667,0.65,0.35,0.6231884057971014
8,inf,40,1,0.05,37,22,26,15,0.52,0.48,0.5873015873015873,0.5945945945945946,0.40540540540540543,0.6271186440677966
9,inf,40,1,0.05,24,22,18,36,0.6,0.4,0.5714285714285714,0.3793103448275862,0.6206896551724138,0.5217391304347826
0,inf,40,1,0.1,45,37,11,7,0.52,0.48,0.8035714285714286,0.8409090909090909,0.1590909090909091,0.5487804878048781
1,inf,40,1,0.1,25,14,27,34,0.59,0.41,0.4807692307692308,0.2916666666666667,0.7083333333333334,0.6410256410256411
2,inf,40,1,0.1,29,17,30,24,0.53,0.47,0.4915254237288136,0.4146341463414634,0.5853658536585366,0.6304347826086957
3,inf,40,1,0.1,26,27,19,28,0.54,0.46,0.5777777777777777,0.4909090909090909,0.509090909090909,0.49056603773584906
4,inf,40,1,0.1,27,24,21,28,0.55,0.45,0.5625,0.46153846153846156,0.5384615384615384,0.5294117647058824
5,inf,40,1,0.1,23,18,25,34,0.57,0.43,0.4791666666666667,0.34615384615384615,0.6538461538461539,0.5609756097560976
6,inf,40,1,0.1,38,23,28,11,0.49,0.51,0.5757575757575758,0.6764705882352942,0.3235294117647059,0.6229508196721312
7,inf,40,1,0.1,43,19,22,16,0.59,0.41,0.6615384615384615,0.5428571428571428,0.45714285714285713,0.6935483870967742
8,inf,40,1,0.1,32,22,21,25,0.57,0.43,0.6037735849056604,0.46808510638297873,0.5319148936170213,0.5925925925925926
9,inf,40,1,0.1,19,29,25,27,0.46,0.54,0.4318181818181818,0.5178571428571429,0.48214285714285715,0.3958333333333333
0,inf,40,1,0.15,27,27,22,24,0.51,0.49,0.5510204081632653,0.5294117647058824,0.47058823529411764,0.5
1,inf,40,1,0.15,17,31,23,29,0.46,0.54,0.425,0.5166666666666667,0.48333333333333334,0.3541666666666667
2,inf,40,1,0.15,42,27,15,16,0.58,0.42,0.7368421052631579,0.627906976744186,0.37209302325581395,0.6086956521739131
3,inf,40,1,0.15,25,23,24,28,0.53,0.47,0.5102040816326531,0.45098039215686275,0.5490196078431373,0.5208333333333334
4,inf,40,1,0.15,42,17,20,21,0.63,0.37,0.6774193548387096,0.4473684210526316,0.5526315789473685,0.711864406779661
5,inf,40,1,0.15,21,16,30,33,0.54,0.46,0.4117647058823529,0.32653061224489793,0.673469387755102,0.5675675675675675
6,inf,40,1,0.15,22,24,25,29,0.51,0.49,0.46808510638297873,0.4528301886792453,0.5471698113207547,0.4782608695652174
7,inf,40,1,0.15,11,31,26,32,0.43,0.57,0.2972972972972973,0.49206349206349204,0.5079365079365079,0.2619047619047619
8,inf,40,1,0.15,15,32,24,29,0.44,0.56,0.38461538461538464,0.5245901639344263,0.47540983606557374,0.3191489361702128
9,inf,40,1,0.15,28,29,20,23,0.51,0.49,0.5833333333333334,0.5576923076923077,0.4423076923076923,0.49122807017543857
0,inf,40,1,0.2,22,27,22,29,0.51,0.49,0.5,0.48214285714285715,0.5178571428571429,0.4489795918367347
1,inf,40,1,0.2,15,20,31,34,0.49,0.51,0.32608695652173914,0.37037037037037035,0.6296296296296297,0.42857142857142855
2,inf,40,1,0.2,20,23,22,35,0.55,0.45,0.47619047619047616,0.39655172413793105,0.603448275862069,0.46511627906976744
3,inf,40,1,0.2,35,26,17,22,0.57,0.43,0.6730769230769231,0.5416666666666666,0.4583333333333333,0.5737704918032787
4,inf,40,1,0.2,20,24,27,29,0.49,0.51,0.425531914893617,0.4528301886792453,0.5471698113207547,0.45454545454545453
5,inf,40,1,0.2,46,29,16,9,0.55,0.45,0.7419354838709677,0.7631578947368421,0.23684210526315788,0.6133333333333333
6,inf,40,1,0.2,24,22,18,36,0.6,0.4,0.5714285714285714,0.3793103448275862,0.6206896551724138,0.5217391304347826
7,inf,40,1,0.2,36,21,21,22,0.58,0.42,0.631578947368421,0.4883720930232558,0.5116279069767442,0.631578947368421
8,inf,40,1,0.2,23,31,21,25,0.48,0.52,0.5227272727272727,0.5535714285714286,0.44642857142857145,0.42592592592592593
9,inf,40,1,0.2,43,22,23,12,0.55,0.45,0.6515151515151515,0.6470588235294118,0.35294117647058826,0.6615384615384615
0,inf,40,1,0.25,27,21,33,19,0.46,0.54,0.45,0.525,0.475,0.5625
1,inf,40,1,0.25,27,20,25,28,0.55,0.45,0.5192307692307693,0.4166666666666667,0.5833333333333334,0.574468085106383
2,inf,40,1,0.25,21,25,24,30,0.51,0.49,0.4666666666666667,0.45454545454545453,0.5454545454545454,0.45652173913043476
3,inf,40,1,0.25,32,19,22,27,0.59,0.41,0.5925925925925926,0.41304347826086957,0.5869565217391305,0.6274509803921569
4,inf,40,1,0.25,16,26,17,41,0.57,0.43,0.48484848484848486,0.3880597014925373,0.6119402985074627,0.38095238095238093
5,inf,40,1,0.25,22,24,21,33,0.55,0.45,0.5116279069767442,0.42105263157894735,0.5789473684210527,0.4782608695652174
6,inf,40,1,0.25,32,18,30,20,0.52,0.48,0.5161290322580645,0.47368421052631576,0.5263157894736842,0.64
7,inf,40,1,0.25,28,20,21,31,0.59,0.41,0.5714285714285714,0.39215686274509803,0.6078431372549019,0.5833333333333334
8,inf,40,1,0.25,16,21,25,38,0.54,0.46,0.3902439024390244,0.3559322033898305,0.6440677966101694,0.43243243243243246
9,inf,40,1,0.25,27,24,20,29,0.56,0.44,0.574468085106383,0.4528301886792453,0.5471698113207547,0.5294117647058824
0,inf,50,1,0.05,36,20,26,18,0.54,0.46,0.5806451612903226,0.5263157894736842,0.47368421052631576,0.6428571428571429
1,inf,50,1,0.05,29,27,21,23,0.52,0.48,0.58,0.54,0.46,0.5178571428571429
2,inf,50,1,0.05,48,25,12,15,0.63,0.37,0.8,0.625,0.375,0.6575342465753424
3,inf,50,1,0.05,14,20,25,41,0.55,0.45,0.358974358974359,0.32786885245901637,0.6721311475409836,0.4117647058823529
4,inf,50,1,0.05,33,19,19,29,0.62,0.38,0.6346153846153846,0.3958333333333333,0.6041666666666666,0.6346153846153846
5,inf,50,1,0.05,31,32,18,19,0.5,0.5,0.6326530612244898,0.6274509803921569,0.37254901960784315,0.49206349206349204
6,inf,50,1,0.05,20,23,23,34,0.54,0.46,0.46511627906976744,0.40350877192982454,0.5964912280701754,0.46511627906976744
7,inf,50,1,0.05,31,25,23,21,0.52,0.48,0.5740740740740741,0.5434782608695652,0.45652173913043476,0.5535714285714286
8,inf,50,1,0.05,18,35,17,30,0.48,0.52,0.5142857142857142,0.5384615384615384,0.46153846153846156,0.33962264150943394
9,inf,50,1,0.05,29,25,25,21,0.5,0.5,0.5370370370370371,0.5434782608695652,0.45652173913043476,0.5370370370370371
0,inf,50,1,0.1,50,25,17,8,0.58,0.42,0.746268656716418,0.7575757575757576,0.24242424242424243,0.6666666666666666
1,inf,50,1,0.1,19,17,26,38,0.57,0.43,0.4222222222222222,0.3090909090909091,0.6909090909090909,0.5277777777777778
2,inf,50,1,0.1,24,20,15,41,0.65,0.35,0.6153846153846154,0.32786885245901637,0.6721311475409836,0.5454545454545454
3,inf,50,1,0.1,17,21,29,33,0.5,0.5,0.3695652173913043,0.3888888888888889,0.6111111111111112,0.4473684210526316
4,inf,50,1,0.1,12,14,26,48,0.6,0.4,0.3157894736842105,0.22580645161290322,0.7741935483870968,0.46153846153846156
5,inf,50,1,0.1,34,39,15,12,0.46,0.54,0.6938775510204082,0.7647058823529411,0.23529411764705882,0.4657534246575342
6,inf,50,1,0.1,11,16,38,35,0.46,0.54,0.22448979591836735,0.3137254901960784,0.6862745098039216,0.4074074074074074
7,inf,50,1,0.1,17,21,29,33,0.5,0.5,0.3695652173913043,0.3888888888888889,0.6111111111111112,0.4473684210526316
8,inf,50,1,0.1,31,26,26,17,0.48,0.52,0.543859649122807,0.6046511627906976,0.3953488372093023,0.543859649122807
9,inf,50,1,0.1,29,15,31,25,0.54,0.46,0.48333333333333334,0.375,0.625,0.6590909090909091
0,inf,50,1,0.15,21,20,30,29,0.5,0.5,0.4117647058823529,0.40816326530612246,0.5918367346938775,0.5121951219512195
1,inf,50,1,0.15,17,32,18,33,0.5,0.5,0.4857142857142857,0.49230769230769234,0.5076923076923077,0.3469387755102041
